YearStart,YearEnd,LocationDesc,Datasource,Topic,Question,Data_Value_Unit,Data_Value_Type,Stratification1,StratificationCategory2,Stratification2,LocationID,TopicID,QuestionID,StratificationID1,StratificationID2,target
2019,2022,Iowa,BRFSS,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,Percentage,50-64 years,,,19,TCC02,Q31,5064,OVERALL,1
2015,2015,Maryland,BRFSS,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,Percentage,Overall,Sex,Female,24,TCC02,Q31,AGE_OVERALL,FEMALE,1
2017,2017,"United States, DC & Territories",BRFSS,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,Percentage,50-64 years,Race/Ethnicity,Native Am/Alaskan Native,59,TCC02,Q31,5064,NAA,1
2015,2015,South Dakota,BRFSS,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,Percentage,Overall,,,46,TCC04,Q42,AGE_OVERALL,OVERALL,1
2016,2016,Maine,BRFSS,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,Percentage,Overall,,,23,TCC01,Q30,AGE_OVERALL,OVERALL,0
2016,2016,South,BRFSS,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,Percentage,50-64 years,Race/Ethnicity,"White, non-Hispanic",9003,TCC03,Q41,5064,WHT,1
2019,2022,California,BRFSS,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,Percentage,50-64 years,Sex,Female,6,TCC01,Q30,5064,FEMALE,0
2019,2019,Nebraska,BRFSS,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,Percentage,65 years or older,,,31,TCC03,Q41,65PLUS,OVERALL,0
2019,2022,Washington,BRFSS,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,Percentage,50-64 years,Sex,Female,53,TCC04,Q42,5064,FEMALE,1
2021,2021,Colorado,BRFSS,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,Percentage,50-64 years,Sex,Female,8,TCC04,Q42,5064,FEMALE,1
2022,2022,Nevada,BRFSS,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,Percentage,50-64 years,,,32,TCC01,Q30,5064,OVERALL,0
